Date,KSE100,Nestle_PK,Abbott_PK,National_Foods,Lucky_Cement,HBL_Bank,PSO,OGDC
2010-01-22,9774.0703125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-25,9689.2001953125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-26,9666.48046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-27,9603.5498046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-28,9579.8095703125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-01-29,9614.1904296875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-01,9591.5,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-02,9595.240234375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-03,9627.6298828125,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-04,9769.73046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-05,,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-08,9809.98046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-09,9786.4599609375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-10,9733.3603515625,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-11,9802.7998046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-12,9805.8701171875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-15,,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-16,9769.6796875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-17,9867.08984375,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-18,9889.2998046875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-19,9902.6201171875,562.9600830078125,47.500675201416016,7.054945468902588,50.974937438964844,21.34020233154297,38.27743148803711,29.498281478881836
2010-02-22,9953.0703125,712.3182983398438,57.47869110107422,7.190614223480225,67.14762878417969,29.789133071899414,56.8811149597168,44.20720672607422
2010-02-23,9823.5703125,699.0718383789062,56.82232666015625,7.229055881500244,65.87301635742188,29.53003692626953,56.104888916015625,42.95708084106445
2010-02-24,9686.1796875,701.3525390625,56.30988693237305,7.156698226928711,65.0787124633789,29.176713943481445,55.18080139160156,42.650054931640625
2010-02-25,9667.169921875,711.5128173828125,56.41927719116211,7.021024703979492,65.29114532470703,29.04715919494629,55.251033782958984,42.64274215698242
2010-02-26,9657.7900390625,711.5128173828125,56.41927719116211,7.021024703979492,65.29114532470703,29.04715919494629,55.251033782958984,42.64274215698242
2010-03-01,9498.5595703125,710.920166015625,56.292606353759766,6.987107753753662,63.074432373046875,28.955297470092773,54.65776443481445,42.58790969848633
2010-03-02,9546.3798828125,725.1387329101562,55.987457275390625,6.915879726409912,64.01651763916016,29.261518478393555,54.88509750366211,42.88397216796875
2010-03-03,9419.4296875,710.920166015625,54.208335876464844,6.783599853515625,65.25418090820312,29.174373626708984,54.138431549072266,42.54769515991211
2010-03-04,9511.5302734375,711.2167358398438,55.020164489746094,6.523561000823975,65.78067016601562,28.9882755279541,54.816715240478516,42.613487243652344
