,KSE100,Nestle_PK,Abbott_PK,Lucky_Cement,HBL_Bank,Dollar Rate,Petrol Price,New Car,Foreign Tour,Actual_Inflation_Rate
2018-01-01,43542.08556547619,8334.189198369566,525.419838283373,586.1295006793479,111.99828736678414,6.0,1.0,2.0,0.0,4.4
2018-02-01,43517.285807291664,8507.433740234375,541.3065338134766,591.0217590332031,116.04620590209962,5.0,1.0,2.0,0.0,3.8
2018-03-01,43994.05546875,9110.328657670454,533.1238694624467,633.8912270285866,119.06697984175248,7.0,1.0,2.0,0.0,3.2
2018-04-01,45908.25892857143,9393.91001674107,583.0780116489956,669.8177780877976,118.47273472377232,7.0,1.0,2.0,0.0,3.7
2018-05-01,43081.692708333336,9062.812627377718,561.4470851732337,577.2473967179009,101.00306734831437,6.0,1.0,2.0,0.0,4.2
2018-06-01,42825.385416666664,8829.362025669643,572.394400024414,518.7706253051758,102.18784561157227,9.0,2.0,2.0,0.0,5.2
2018-07-01,40937.8724609375,7985.691073330966,554.2977600097656,486.982929576527,97.63044669411399,22.0,2.0,2.0,0.0,5.8
2018-08-01,42492.76768092105,7673.768979279891,550.5036594556725,549.1127505095109,91.70555380116339,17.0,1.0,2.0,0.0,5.8
2018-09-01,41018.33363970588,7218.718579101563,499.0392761230469,499.1066146850586,86.82757110595703,9.0,2.0,3.0,0.0,5.1
2018-10-01,39149.45940896739,6868.410368546196,448.3378601074219,446.5487299380095,79.62663534413214,22.0,2.0,2.0,0.0,6.8
2018-11-01,41197.583984375,6926.31855912642,472.44059337269175,486.94250072132456,82.95430720936169,14.0,2.0,2.0,0.0,6.5
2018-12-01,38330.12623355263,6734.195661272322,464.09498814174106,462.87950352260043,75.8600565592448,18.0,2.0,2.0,0.0,6.2
2019-01-01,39398.80375744047,6265.320227581522,532.3309631347656,450.9423549486243,80.72378274668817,17.0,2.0,2.0,0.0,7.2
2019-02-01,40300.694444444445,6607.359790039062,566.3736328125,476.15333862304686,82.94411010742188,10.0,1.0,2.0,0.0,8.2
2019-03-01,38867.07310267857,5988.235560825893,533.8609778994605,437.38323393322173,80.51817285446893,9.0,2.0,2.0,0.0,9.4
2019-04-01,37152.67206101191,5741.188898259943,474.56393155184657,385.6328416304155,74.87805245139383,13.0,3.0,2.0,0.0,8.8
2019-05-01,34862.9775390625,5541.74753736413,403.1333180303159,369.13666169539744,73.92477980903958,27.0,6.0,2.0,0.0,9.1
2019-06-01,34731.349365234375,5266.341235351562,398.9649917602539,389.89347686767576,73.60575332641602,27.0,3.0,2.0,0.0,8.9
2019-07-01,33074.509232954544,4943.412809952446,345.4343182107677,372.448474386464,71.69257620106573,31.0,2.0,2.0,0.0,10.3
2019-08-01,30536.62282986111,4612.65263227983,304.3752455277876,348.8020768599077,67.92505940524015,20.0,4.0,2.0,0.0,10.5
2019-09-01,31396.467339409723,4429.271205357143,280.46426972888764,342.4347708565848,71.96059926350911,19.0,3.0,2.0,0.0,11.4
2019-10-01,33592.64852241848,4585.060674252717,284.995897376019,353.68086309018344,78.14242022970448,13.0,2.0,2.0,0.0,11.0
2019-11-01,37071.2251953125,4995.349516369048,323.44251650855654,387.28294445219495,84.77867489769345,12.0,1.0,2.0,0.0,12.7
2019-12-01,40721.3271484375,5980.096635298295,384.7738467129794,416.09623579545456,97.20167749578303,13.0,1.0,2.0,0.0,12.6
2020-01-01,42444.92224702381,6220.41506029212,365.5167939559273,471.59539794921875,102.86495042883831,12.0,2.0,2.0,0.0,14.6
2020-02-01,39794.158203125,5916.019287109375,325.1813507080078,468.6965957641602,98.95415420532227,10.0,2.0,2.0,0.0,12.4
2020-03-01,33590.011067708336,5489.316472833807,305.7737468372692,434.20031322132456,78.81521120938388,19.0,5.0,2.0,0.0,10.2
2020-04-01,31922.421781994046,4672.081787109375,339.7954559326172,419.8597578568892,65.18289566040039,20.0,7.0,1.0,0.0,8.5
2020-05-01,33747.63037109375,5094.942685081845,394.0991705031622,444.48067946661087,60.50348063877651,15.0,6.0,2.0,0.0,8.2
2020-06-01,34200.28622159091,5138.719637784091,506.57555597478694,445.72514898126775,62.429207194935195,15.0,9.0,2.0,0.0,8.6
2020-07-01,36958.60695684524,5262.50830078125,537.1057633109715,514.9579865828804,68.7572371441385,14.0,3.0,2.0,0.0,9.3
2020-08-01,40246.17578125,4935.302780877976,581.8727068219866,594.4598621186756,80.66977982293992,13.0,2.0,2.0,0.0,8.2
2020-09-01,41929.138764880954,5290.284690163352,673.3358514959162,635.8066378506747,83.73193428733133,13.0,1.0,2.0,0.0,9.0
2020-10-01,40483.23084077381,5132.30595259233,650.5312389026989,642.8557545055043,84.648813421076,17.0,1.0,2.0,0.0,8.9
2020-11-01,40504.7767578125,5106.484212239583,644.6735345749628,649.4931640625,81.81920042492095,26.0,2.0,2.0,0.0,8.3
2020-12-01,42892.73400297619,5347.498089334239,672.6898113748301,668.8799624235734,83.54529140306556,15.0,2.0,2.0,0.0,8.0
2021-01-01,45781.38815789474,5269.046502976191,651.5499703543527,688.9467046828497,88.20543452671596,11.0,3.0,3.0,0.0,5.7
2021-02-01,46299.52777777778,5001.428759765625,662.132601928711,777.1996215820312,82.85768699645996,11.0,4.0,2.0,0.0,8.7
2021-03-01,44999.48158482143,4746.096233865489,647.3210157311481,825.6663951044497,76.73049429188605,20.0,2.0,2.0,0.0,9.1
2021-04-01,44883.455357142855,4643.470259232955,657.2739479758523,831.8551330566406,77.07555805553089,24.0,1.0,2.0,0.0,11.1
2021-05-01,45773.89118303572,4545.755580357143,708.5534202938989,873.6723778134301,83.34872218540737,17.0,2.0,2.0,0.0,10.9
2021-06-01,48026.35067471591,4631.96016068892,715.7930242365056,890.6720719770951,86.13909149169922,14.0,2.0,3.0,0.0,9.7
